급수,대표음,한자,대표훈
준4급,저,低,낮다
준4급,적,的,과녁
준4급,적,敵,대적하다
준4급,절,絕,끊다
준4급,접,接,잇다
준4급,정,停,머무르다
준4급,정,政,정사
준4급,정,頂,정수리
준4급,제,祭,제사
준4급,제,製,짓다
준4급,제,除,덜다
준4급,존,尊,높다
준4급,종,宗,마루
준4급,죄,罪,허물
준4급,중,衆,무리
준4급,즉,即,곧
준4급,증,增,더하다
준4급,지,指,손가락/가리키다
준4급,진,盡,다하다
준4급,차,差,다르다/어긋나다
준4급,찰,察,살피다
준4급,책,冊,책
준4급,처,處,곳/살다
준4급,척,尺,자(단위)
준4급,청,請,청하다
준4급,청,聽,듣다
준4급,총,聰,귀 밝다
준4급,충,蟲,벌레
준4급,치,治,다스리다
준4급,쾌,快,쾌하다
준4급,탐,探,찾다
준4급,통,統,거느리다
준4급,퇴,退,물러나다
준4급,파,破,깨뜨리다
준4급,패,敗,패하다
준4급,포,布,베/펴다
준4급,풍,豐,풍년
준4급,피,被,입다
준4급,한,限,한정
준4급,해,解,풀다
준4급,향,鄉,시골
준4급,허,虛,비다
준4급,허,許,허락하다
준4급,현,賢,어질다
준4급,현,顯,나타나다
준4급,혜,惠,은혜
준4급,호,戶,지게문
준4급,혼,婚,혼인하다
준4급,화,貨,재물
준4급,흥,興,일어나다
준4급,희,希,바라다
4급,가,佳,아름답다
4급,각,刻,새기다
4급,각,覺,깨닫다
4급,갈,渴,목마르다
4급,강,綱,벼리(기준)
4급,개,皆,다
4급,개,介,끼다
4급,건,乾,마르다/하늘
4급,검,檢,검사하다
4급,검,儉,검소하다
4급,견,堅,굳다
4급,계,鷄,닭
4급,계,溪,시내
4급,고,顧,돌아보다
4급,고,孤,외롭다
4급,고,故,예/일
4급,곡,穀,곡식
4급,곤,坤,땅
4급,곤,困,괴롭다
4급,공,恭,공손하다
4급,공,貢,바치다
4급,공,孔,구멍
4급,공,攻,치다
4급,과,寡,적다
4급,관,冠,갓
4급,구,懼,두려워하다
4급,구,句,글귀
4급,구,究,궁구하다
4급,구,久,오래다
4급,궁,窮,다하다
4급,균,均,고르다
4급,근,斤,도끼
4급,금,禽,날짐승
4급,급,及,미치다
4급,기,幾,기미
4급,기,旣,이미
4급,기,飢,굶주리다
4급,기,器,그릇
4급,기,起,일어나다
4급,기,其,그
4급,낙,諾,허락하다
4급,난,難,어렵다
4급,납,納,들이다
4급,내,乃,이에
4급,단,但,다만
4급,단,旦,아침
4급,단,單,홀
4급,단,丹,붉다
4급,대,貸,빌리다
4급,도,徒,무리
4급,독,篤,도탑다
4급,랑,浪,물결
4급,랑,郎,사나이
4급,량,糧,양식
4급,량,涼,서늘하다
4급,련,連,잇다
4급,렬,烈,맵다
4급,렴,廉,청렴하다
4급,로,露,이슬
4급,류,柳,버들
4급,륜,倫,인륜
4급,리,離,떠나다
4급,린,鄰,이웃
4급,막,莫,없다
4급,만,慢,게으르다
4급,만,晚,늦다
4급,망,忙,바쁘다
4급,망,罔,그물/없다
4급,망,忘,잊다
4급,맥,麥,보리
4급,맹,孟,맏
4급,면,免,면하다
4급,면,眠,잠자다
4급,명,鳴,울다
4급,모,暮,저물다
4급,모,貌,얼굴
4급,묘,妙,묘하다
4급,무,戊,다섯째 천간
4급,무,茂,무성하다
4급,무,貿,바꾸다/무역하다
4급,무,舞,춤추다
4급,묵,墨,먹
4급,반,返,돌아오다
4급,발,髮,터럭
4급,변,辯,말 잘하다
4급,복,腹,배
4급,복,伏,엎드리다
4급,복/부,覆,뒤집다/덮다
4급,복/부,復,돌아오다/다시
4급,봉,逢,만나다
4급,부,扶,돕다
4급,부,浮,뜨다
4급,부,府,관청
4급,부,否,아니다
4급,부,婦,아내/며느리
4급,붕,朋,벗
4급,사,似,비슷하다
4급,사,巳,여섯번째지지
4급,사,謝,사례하다
4급,사,司,맡다
4급,산,散,흩어지다
4급,상,祥,상서롭다
4급,상,喪,죽다
4급,상,尙,오히려/예
4급,상,裳,치마
4급,상,詳,자세하다
4급,상,床,평상
4급,상,霜,서리
4급,서,暑,덥다
4급,석,昔,예
4급,석,惜,아끼다
4급,소,召,부르다
4급,수,誰,누구
4급,수,雖,비록
4급,수,須,모름지기
4급,수,壽,목숨
4급,수,愁,근심
4급,수,獸,길짐승
4급,수,收,거두다
4급,수,受,받다
4급,숙,肅,엄숙하다
4급,숙,淑,맑다
4급,숭,崇,높다
4급,습,襲,엄습하다
4급,습/십,拾,줍다/열
4급,승,乘,타다
4급,시,矢,화살
4급,시,侍,모시다
4급,시,施,베풀다
4급,시,是,이/옳다
4급,신,晨,새벽
4급,신,辛,맵다/여덟째천간
4급,신,愼,삼가다
4급,심,甚,심하다
4급,아,我,나
4급,알,謁,아뢰다/뵙다
4급,암,巖,바위
4급,앙,殃,재앙
4급,앙,仰,우러르다
4급,앙,央,가운데
4급,애,哀,슬프다
4급,야,也,어조사
4급,약,若,같다/만약
4급,양,揚,오르다
4급,양,讓,사양하다
4급,어,於,어조사
4급,억,憶,생각하다
4급,엄,嚴,엄하다
4급,여,汝,너
4급,역,亦,또
4급,역,逆,거스르다
4급,역/이,易,바꾸다/쉽다
4급,열,悅,기쁘다
4급,염,炎,불꽃
4급,영,迎,맞이하다
4급,오,吾,나
4급,오,悟,깨닫다
4급,오,烏,까마귀
4급,와,臥,엎드리다
4급,와,瓦,기와
4급,왈,曰,가로
4급,왕,往,가다
4급,욕,辱,욕되다
4급,욕,欲,하고자 하다
4급,우,于,어조사
4급,우,尤,더욱
4급,우,憂,근심하다
4급,우,遇,만나다
4급,우,宇,집
4급,운,云,이르다
4급,원,圓,둥글다
4급,위,違,어긋나다
4급,위,謂,말하다
4급,위,威,위엄
4급,유,唯,오직
4급,유,惟,생각하다
4급,유,柔,부드럽다
4급,유,猶,오히려
4급,유,維,오직/벼리
4급,유,乳,젖
4급,유,遊,놀다
4급,유,酉,열째지지/닭
4급,유,幼,어리다
4급,을,乙,둘째천간/새
4급,음,吟,읊다
4급,읍,泣,울다
4급,의,矣,어조사
4급,의,疑,의심하다
4급,의,議,의논하다
4급,이,而,말잇다
4급,이,已,이미
4급,이,移,옮기다
4급,열,悅,기쁘다
4급,인,姻,혼인하다
4급,인,寅,셋째지지/범
4급,인,忍,참다
4급,일,逸,달아나다
4급,임,壬,아홉째천간/북방
4급,자,慈,사랑하다
4급,잡,雜,섞이다
4급,장,莊,별장
4급,장,壯,씩씩하다
4급,재,哉,어조사
4급,재,栽,심다
4급,저,著,분명하다
4급,적,積,쌓다
4급,적,籍,문서
4급,적,適,맞다
4급,전,錢,돈
4급,정,淨,깨끗하다
4급,정,丁,넷째 천간
4급,정,整,가지런하다
4급,정,靜,고요하다
4급,정,程,한도
4급,정,精,깨끗하다
4급,정,貞,곧다
4급,정,井,우물
4급,제,諸,모두
4급,제,齊,가지런하다
4급,제,帝,임금
4급,조,兆,조
4급,조,造,짓다
4급,종,鐘,종
4급,종,從,좇다
4급,좌,坐,앉다
4급,주,朱,붉다
4급,주,酒,술
4급,주,宙,집
4급,증,曾,일찍
4급,증,證,증거
4급,지,只,다만
4급,지,之,어조사/가다
4급,지,枝,가지
4급,지,持,가지다
4급,지,智,지혜
4급,진/신,辰,다섯째지지
4급,집,執,잡다
4급,차,且,또
4급,차,借,빌리다
4급,차,此,이
4급,창,昌,창성하다
4급,채,菜,나물
4급,채,採,캐다
4급,처,妻,아내
4급,척,戚,겨레/친척
4급,천,踐,밟다
4급,천,淺,얕다
4급,천,泉,샘
4급,청,晴,개다
4급,초,招,부르다
4급,추,追,쫓다
4급,추/퇴,推,밀다
4급,취,吹,불다
4급,취,就,이루다
4급,취,取,취하다
4급,측,側,곁
4급,치,恥,부끄럽다
4급,침,枕,베개
4급,침,寢,잠자다
4급,침,針,바늘
4급,탈,脫,벗다
4급,태,怠,게으르다
4급,태,泰,크다
4급,택,擇,가리다
4급,투,鬪,싸움
4급,투,投,던지다
4급,파,波,물결
4급,판,判,판단하다
4급,편,篇,책
4급,편,片,조각
4급,폐,閉,닫다
4급,포,抱,안다
4급,포,飽,배부르다
4급,피,彼,저
4급,피,皮,가죽
4급,필,匹,짝
4급,하,何,어찌
4급,하,賀,하례하다
4급,한,恨,한하다
4급,한,閑,한가하다
4급,항,恒,항상
4급,헌,獻,바치다
4급,험,驗,시험하다
4급,형,亨,형통하다
4급,형,刑,형벌
4급,호,乎,어조사
4급,호,呼,부르다
4급,혹,或,혹
4급,혼,昏,어둡다
4급,혼,混,섞다
4급,화,華,빛나다
4급,환,歡,기뻐하다
4급,황,皇,임금
4급,회,懷,품다
4급,획,劃,긋다
4급,후,候,철/묻다
4급,후,厚,두텁다
4급,훼,毀,헐다
4급,흉,胸,가슴
4급,희,戲,희롱하다
4급,희,喜,기쁘다
